Name,Category,One Line Description,Authentication,Credential Availability,Public API,REST,GraphQL,Webhook Support,API Breadth,MCP Availability,Toolkit Buildability,Primary Blocker,Evidence URL,Confidence,Buildability Score,Needs Human Review,Docs URL,Developer Portal URL,Auth Docs URL,Pricing URL
Salesforce,CRM and Sales,Enterprise cloud-based customer relationship management platform.,"OAuth2, API Key",Available via developer portal,Yes,Yes,Yes,Yes,Comprehensive,Yes,High,None identified,https://developer.salesforce.com/docs/api,80.0,95.0,True,https://developer.salesforce.com/docs/api,https://developer.salesforce.com,https://help.salesforce.com/s/articleView?id=sf.remoteaccess_oauth_flows.htm,https://www.salesforce.com/pricing/
HubSpot,CRM and Sales,"Inbound marketing, sales, and service software platform.","OAuth2, API Key",Available via developer portal,Yes,Yes,Yes,Yes,Comprehensive,Yes,High,None identified,https://developers.hubspot.com/docs/api,100.0,100.0,False,https://developers.hubspot.com/docs/api,https://developers.hubspot.com,https://developers.hubspot.com/docs/api/oauth-quickstart,https://www.hubspot.com/pricing
Pipedrive,CRM and Sales,Web-based sales CRM and pipeline management software.,"OAuth2, API Key",Available via developer portal,Yes,Yes,No,Yes,Comprehensive,No,High,None identified,https://developers.pipedrive.com/docs/api,100.0,85.0,False,https://developers.pipedrive.com/docs/api,https://developers.pipedrive.com,https://pipedrive.readme.io/docs/how-to-use-oauth-20,https://www.pipedrive.com/en/pricing
Attio,CRM and Sales,"A flexible, modern CRM built for scale and automation.","API Key, OAuth2",Available via developer portal,Yes,Yes,No,Yes,Moderate,No,High,None identified,https://developers.attio.com,100.0,85.0,False,https://developers.attio.com,https://app.attio.com,https://developers.attio.com/reference/authentication,https://attio.com/pricing
Twenty,CRM and Sales,Modern open-source CRM built to be a direct competitor to Salesforce.,"API Key, OAuth2",Available via developer portal,Yes,Yes,Yes,Yes,Comprehensive,Yes,High,None identified,https://twenty.com,100.0,100.0,False,https://twenty.com,https://twenty.com/developers,https://docs.twenty.com/developer/api-auth,https://twenty.com/pricing
Podio,CRM and Sales,Collaborative work platform for organizing team projects and tasks.,"OAuth2, API Key",Available via developer portal,Yes,Yes,No,Yes,Moderate,No,High,None identified,https://developers.podio.com,100.0,85.0,False,https://developers.podio.com,https://podio.com/settings/api,https://developers.podio.com/index/oauth,https://podio.com/pricing
Zoho CRM,CRM and Sales,Omnichannel customer relationship management tool for sales automation.,OAuth2,Available via developer portal,Yes,Yes,No,Yes,Comprehensive,Yes,High,None identified,https://www.zoho.com/crm/developer/docs/api/,100.0,100.0,False,https://www.zoho.com/crm/developer/docs/api/,https://api-console.zoho.com,https://www.zoho.com/crm/developer/docs/api/v2/oauth-overview.html,https://www.zoho.com/crm/pricing.html
Close,CRM and Sales,Sales engagement CRM designed for high-growth sales teams.,"API Key, Basic Auth",Available via developer portal,Yes,Yes,No,Yes,Moderate,No,High,None identified,https://developer.close.com,100.0,80.0,False,https://developer.close.com,https://app.close.com,https://developer.close.com/#authentication,https://close.com/pricing
Copper,CRM and Sales,CRM built specifically for Google Workspace users.,API Key,Available via developer portal,Yes,Yes,No,Yes,Moderate,No,High,None identified,https://developer.copper.com,100.0,80.0,False,https://developer.copper.com/,https://app.copper.com,https://developer.copper.com/#authentication,https://www.copper.com/pricing
DealCloud,CRM and Sales,Financial CRM and deal management platform for private equity and investment banking.,"OAuth2, Bearer Token",Gated/Requires sales outreach,Yes,Yes,No,Likely,Moderate,No,Low,Partner gated / Requires active subscription and sales provisioning,https://api.docs.dealcloud.com,100.0,35.0,True,https://api.docs.dealcloud.com,https://dealcloud.com,https://api.docs.dealcloud.com/help,https://dealcloud.com/request-a-demo/
Zendesk,Support and Helpdesk,Customer service software and support ticketing system.,"OAuth2, API Key, Basic Auth",Available via developer portal,Yes,Yes,No,Yes,Comprehensive,Yes,High,None identified,https://developer.zendesk.com/api-reference/,100.0,100.0,False,https://developer.zendesk.com/api-reference/,https://developer.zendesk.com,https://developer.zendesk.com/api-reference/ticketing/introduction/#authentication,https://www.zendesk.com/pricing/
Intercom,Support and Helpdesk,AI-first customer service platform for support and engagement.,"OAuth2, Bearer Token",Available via developer portal,Yes,Yes,No,Yes,Comprehensive,Yes,High,None identified,https://developers.intercom.com/intercom-api-reference,100.0,100.0,False,https://developers.intercom.com/intercom-api-reference,https://developers.intercom.com,https://developers.intercom.com/building-apps/docs/authentication,https://www.intercom.com/pricing
Freshdesk,Support and Helpdesk,Cloud-based customer support software for ticketing and helpdesk operations.,"API Key, Basic Auth",Available via developer portal,Yes,Yes,No,Yes,Comprehensive,No,High,None identified,https://developers.freshdesk.com/api/,100.0,80.0,False,https://developers.freshdesk.com/api/,https://developers.freshdesk.com,https://developers.freshdesk.com/api/#authentication,https://freshdesk.com/pricing
Front,Support and Helpdesk,Customer operations platform that centralizes company communications.,"Bearer Token, OAuth2",Available via developer portal,Yes,Yes,No,Yes,Moderate,No,High,None identified,https://dev.frontapp.com/docs/api,80.0,80.0,True,https://dev.frontapp.com/docs/api,https://dev.frontapp.com,https://dev.frontapp.com/docs/api/authentication,https://front.com/pricing
Pylon,Support and Helpdesk,Customer support infrastructure for Slack-first support teams.,API Key,Available via developer portal,Yes,Yes,No,Yes,Limited,No,High,None identified,https://docs.usepylon.com,100.0,80.0,False,https://docs.usepylon.com,https://docs.usepylon.com/reference,https://docs.usepylon.com/reference/authentication,https://usepylon.com/pricing
LiveAgent,Support and Helpdesk,Ticketing and live chat software for customer support channels.,API Key,Available via developer portal,Yes,Yes,No,Yes,Moderate,No,High,None identified,https://api.liveagent.com,80.0,75.0,True,https://api.liveagent.com,https://api.liveagent.com/docs,https://api.liveagent.com/docs/#section/Authentication,https://www.liveagent.com/pricing/
Plain,Support and Helpdesk,Developer-first customer support API and platform.,"API Key, Bearer Token",Available via developer portal,Yes,No,Yes,Yes,Comprehensive,No,High,None identified,https://plain.com/docs,100.0,80.0,False,https://plain.com/docs,https://plain.com/docs/developer-tools,https://plain.com/docs/graphql/authentication,https://plain.com/pricing
Help Scout,Support and Helpdesk,Customer support platform offering shared inbox and knowledge base capabilities.,OAuth2,Available via developer portal,Yes,Yes,No,Yes,Comprehensive,No,High,None identified,https://developer.helpscout.com/mailbox-api/,100.0,85.0,False,https://developer.helpscout.com/mailbox-api/,https://developer.helpscout.com,https://developer.helpscout.com/mailbox-api/credentials/,https://www.helpscout.com/pricing/
Gorgias,Support and Helpdesk,Ecommerce helpdesk for customer support and ticket management.,"API Key, Basic Auth",Available via developer portal,Yes,Yes,No,Yes,Moderate,No,High,None identified,https://developers.gorgias.com,100.0,80.0,False,https://developers.gorgias.com,https://developers.gorgias.com/reference,https://developers.gorgias.com/reference/authentication,https://www.gorgias.com/pricing
Gladly,Support and Helpdesk,People-centered customer service platform focused on user conversations.,"API Key, Basic Auth",Gated/Requires sales outreach,Yes,Yes,No,Yes,Moderate,No,Low,Requires enterprise setup and provisioning,https://developer.gladly.com,100.0,35.0,True,https://developer.gladly.com,https://gladly.com,https://developer.gladly.com/reference/auth-header,https://www.gladly.com/pricing/
Slack,Communications and Messaging,Team communication platform that organizes workspace operations.,"OAuth2, Bearer Token",Available via developer portal,Yes,Yes,No,Yes,Comprehensive,Yes,High,None identified,https://api.slack.com/web,100.0,100.0,False,https://api.slack.com/web,https://api.slack.com/apps,https://api.slack.com/authentication,https://slack.com/pricing
Twilio,Communications and Messaging,"Customer engagement API platform for SMS, Voice, and Video.","Basic Auth, API Key",Available via developer portal,Yes,Yes,No,Yes,Comprehensive,Yes,High,None identified,https://www.twilio.com/docs/usage/api,100.0,95.0,False,https://www.twilio.com/docs/usage/api,https://www.twilio.com/console,https://www.twilio.com/docs/usage/security#authentication,https://www.twilio.com/pricing
Zoho Cliq,Communications and Messaging,Business communication software with integrated developer APIs.,OAuth2,Available via developer portal,Yes,Yes,No,Yes,Moderate,No,High,None identified,https://www.zoho.com/cliq/developer/docs/api/,80.0,80.0,True,https://www.zoho.com/cliq/developer/docs/api/,https://api-console.zoho.com,https://www.zoho.com/cliq/developer/docs/api/oauth-cliq.html,https://www.zoho.com/cliq/pricing.html
Lark (Larksuite),Communications and Messaging,Collaborative enterprise office suite for messaging and documents.,"OAuth2, Bearer Token",Available via developer portal,Yes,Yes,No,Yes,Comprehensive,No,High,None identified,https://open.larksuite.com/document/home/index,100.0,85.0,False,https://open.larksuite.com/document/home/index,https://open.larksuite.com/app,https://open.larksuite.com/document/uk0zI1YjLx0TM04yMTNEdjN/gGjN3UjLxozN14yM2cTN,https://www.larksuite.com/pricing
Pumble,Communications and Messaging,Team chat application for workplace messaging and file sharing.,"OAuth2, Bearer Token",Available via developer portal,Yes,Yes,No,Yes,Limited,No,High,None identified,https://pumble.com/developers/api,80.0,80.0,True,https://pumble.com/developers/api,https://pumble.com/developers,https://pumble.com/developers/docs/auth,https://pumble.com/pricing
Discord,Communications and Messaging,"Voice, video, and text communication platform for online communities.","OAuth2, Bearer Token",Available via developer portal,Yes,Yes,No,Yes,Comprehensive,Yes,High,None identified,https://discord.com/developers/docs/intro,100.0,100.0,False,https://discord.com/developers/docs/intro,https://discord.com/developers/applications,https://discord.com/developers/docs/topics/oauth2,https://discord.com/nitro
Telegram,Communications and Messaging,Cloud-based mobile and desktop messaging app with an open bot API.,"API Key, Bearer Token",Available via developer portal,Yes,Yes,No,Yes,Moderate,Yes,High,None identified,https://core.telegram.org/bots/api,100.0,95.0,False,https://core.telegram.org/bots/api,https://telegram.org/faq#q-how-do-i-create-a-bot,https://core.telegram.org/bots/api#authorizing-your-bot,https://telegram.org/faq
WhatsApp Business,Communications and Messaging,Global customer communication API platform from Meta.,"Bearer Token, OAuth2",Available via developer portal,Yes,Yes,No,Yes,Moderate,Yes,High,None identified,https://developers.facebook.com/docs/whatsapp/cloud-api,80.0,95.0,True,https://developers.facebook.com/docs/whatsapp/cloud-api,https://developers.facebook.com,https://developers.facebook.com/docs/whatsapp/cloud-api/get-started,https://developers.facebook.com/docs/whatsapp/pricing
Aircall,Communications and Messaging,Cloud-based call center software and telephony API platform.,"Basic Auth, API Key",Available via developer portal,Yes,Yes,No,Yes,Moderate,No,High,None identified,https://developer.aircall.io,100.0,80.0,False,https://developer.aircall.io,https://dashboard.aircall.io,https://developer.aircall.io/docs/authentication,https://aircall.io/pricing/
Vonage,Communications and Messaging,"Cloud communications platform for APIs including voice, SMS, and authentication.","API Key, JWT, Basic Auth",Available via developer portal,Yes,Yes,No,Yes,Comprehensive,No,High,None identified,https://developer.vonage.com,100.0,80.0,False,https://developer.vonage.com,https://dashboard.nexmo.com,https://developer.vonage.com/en/getting-started/authentication,https://www.vonage.com/communications-apis/pricing/
Google Ads,"Marketing, Ads, Email and Social",Online advertising platform developed by Google.,OAuth2,Available via developer portal,Yes,Yes,No,No,Comprehensive,No,Medium,None identified,https://developers.google.com/google-ads/api/docs/start,100.0,70.0,False,https://developers.google.com/google-ads/api/docs/start,https://console.cloud.google.com,https://developers.google.com/google-ads/api/docs/oauth/overview,https://ads.google.com
Meta Ads,"Marketing, Ads, Email and Social","Advertising platform for Facebook, Instagram, Messenger, and Audience Network.","OAuth2, Bearer Token",Available via developer portal,Yes,Yes,No,Yes,Comprehensive,No,High,None identified,https://developers.facebook.com/docs/marketing-apis,80.0,80.0,True,https://developers.facebook.com/docs/marketing-apis,https://developers.facebook.com,https://developers.facebook.com/docs/marketing-api/overview/authentication,https://www.facebook.com/business/ads
LinkedIn Ads,"Marketing, Ads, Email and Social",Advertising platform for business marketing and professional outreach on LinkedIn.,OAuth2,Available via developer portal,Yes,Yes,No,Yes,Moderate,No,High,None identified,https://learn.microsoft.com/en-us/linkedin/marketing/,100.0,85.0,False,https://learn.microsoft.com/en-us/linkedin/marketing/,https://www.linkedin.com/developers,https://learn.microsoft.com/en-us/linkedin/shared/authentication/authorization-code-flow,https://business.linkedin.com/marketing-solutions/ads
GoHighLevel,"Marketing, Ads, Email and Social",All-in-one marketing and sales automation platform for agencies.,"OAuth2, API Key",Available via developer portal,Yes,Yes,No,Yes,Moderate,No,High,None identified,https://highlevel.stoplight.io,100.0,85.0,False,https://highlevel.stoplight.io,https://marketplace.gohighlevel.com,https://highlevel.stoplight.io/docs/integrations/009623e1dc2fb-oauth-2-0-overview,https://www.gohighlevel.com/pricing
Mailchimp,"Marketing, Ads, Email and Social",Marketing automation and email marketing platform.,"OAuth2, API Key",Available via developer portal,Yes,Yes,No,Yes,Comprehensive,No,High,None identified,https://mailchimp.com/developer/marketing/api/,100.0,85.0,False,https://mailchimp.com/developer/marketing/api/,https://login.mailchimp.com,https://mailchimp.com/developer/marketing/docs/fundamentals/#oauth2,https://mailchimp.com/pricing/
Klaviyo,"Marketing, Ads, Email and Social",Customer data and email marketing platform tailored for ecommerce.,API Key,Available via developer portal,Yes,Yes,No,Yes,Moderate,No,High,None identified,https://developers.klaviyo.com,100.0,80.0,False,https://developers.klaviyo.com,https://www.klaviyo.com/app,https://developers.klaviyo.com/en/docs/authentication,https://www.klaviyo.com/pricing
systeme.io,"Marketing, Ads, Email and Social","All-in-one online business software for funnels, email, and courses.",API Key,Available via developer portal,Yes,Yes,No,Yes,Limited,No,High,None identified,https://systeme.io,100.0,80.0,False,https://systeme.io,https://systeme.io/dashboard/settings/api-keys,https://systeme.io/help,https://systeme.io/pricing
Pinterest,"Marketing, Ads, Email and Social","Visual discovery, sharing, and social media marketing platform.","OAuth2, Bearer Token",Available via developer portal,Yes,Yes,No,Yes,Moderate,No,High,None identified,https://developers.pinterest.com/docs/api/v5/,100.0,85.0,False,https://developers.pinterest.com/docs/api/v5/,https://developers.pinterest.com,https://developers.pinterest.com/docs/api/v5/#tag/authentication,https://ads.pinterest.com/
Threads (Meta),"Marketing, Ads, Email and Social",Social media API platform for publishing and retrieving Threads content.,"OAuth2, Bearer Token",Available via developer portal,Yes,Yes,No,Yes,Limited,No,High,None identified,https://developers.facebook.com/docs/threads,80.0,80.0,True,https://developers.facebook.com/docs/threads,https://developers.facebook.com,https://developers.facebook.com/docs/threads/getting-started,https://threads.net
SendGrid,"Marketing, Ads, Email and Social",Cloud-based customer communication platform for transactional and marketing email.,"API Key, Bearer Token",Available via developer portal,Yes,Yes,No,Yes,Comprehensive,Yes,High,None identified,https://docs.sendgrid.com/api-reference,100.0,95.0,False,https://docs.sendgrid.com/api-reference,https://app.sendgrid.com,https://docs.sendgrid.com/for-developers/sending-email/api-keys,https://sendgrid.com/pricing
Shopify,Ecommerce,Multi-channel cloud commerce platform for online stores and POS systems.,"OAuth2, API Key",Available via developer portal,Yes,Yes,Yes,Yes,Comprehensive,Yes,High,None identified,https://shopify.dev/docs/api/admin-rest,100.0,100.0,False,https://shopify.dev/docs/api/admin-rest,https://partners.shopify.com,https://shopify.dev/docs/apps/auth,https://www.shopify.com/pricing
WooCommerce,Ecommerce,"Open-source, highly customizable ecommerce plugin for WordPress.","API Key, Basic Auth",Available via developer portal,Yes,Yes,No,Yes,Comprehensive,Yes,High,None identified,https://woocommerce.github.io/woocommerce-rest-api-docs/,100.0,95.0,False,https://woocommerce.github.io/woocommerce-rest-api-docs/,https://woocommerce.com,https://woocommerce.github.io/woocommerce-rest-api-docs/#authentication,https://woocommerce.com/pricing
BigCommerce,Ecommerce,"Flexible, open SaaS ecommerce platform for scaling businesses.","OAuth2, API Key",Available via developer portal,Yes,Yes,Yes,Yes,Comprehensive,Yes,High,None identified,https://developer.bigcommerce.com/api-reference,100.0,100.0,False,https://developer.bigcommerce.com/api-reference,https://devtools.bigcommerce.com,https://developer.bigcommerce.com/docs/start/authentication,https://www.bigcommerce.com/pricing
Salesforce Commerce Cloud,Ecommerce,Cloud-based ecommerce platform tailored for enterprise scale.,"OAuth2, JWT",Gated/Requires sales outreach,Yes,Yes,No,Yes,Comprehensive,No,Low,Requires enterprise contracts and complex environment setup,https://developer.salesforce.com/docs/commerce/commerce-api/overview,80.0,35.0,True,https://developer.salesforce.com/docs/commerce/commerce-api/overview,https://developer.salesforce.com,https://developer.salesforce.com/docs/commerce/commerce-api/guide/authorization.html,https://www.salesforce.com/products/commerce/
Magento (Adobe Commerce),Ecommerce,Highly scalable enterprise ecommerce software powered by Adobe.,"Bearer Token, OAuth2, API Key",Available via developer portal,Yes,Yes,Yes,Yes,Comprehensive,No,High,None identified,https://developer.adobe.com/commerce/webapi/,100.0,85.0,False,https://developer.adobe.com/commerce/webapi/,https://developer.adobe.com,https://developer.adobe.com/commerce/webapi/get-started/authentication/,https://business.adobe.com/products/magento/pricing.html
Squarespace,Ecommerce,Website building and hosting platform offering API commerce integrations.,API Key,Available via developer portal,Yes,Yes,No,Yes,Moderate,No,High,Requires active commercial site subscription to generate keys,https://developers.squarespace.com/commerce-api,80.0,75.0,True,https://developers.squarespace.com/commerce-api,https://developers.squarespace.com,https://developers.squarespace.com/commerce-api/authentication,https://www.squarespace.com/pricing
Ecwid,Ecommerce,SaaS ecommerce solution for adding shop modules to existing websites.,OAuth2,Available via developer portal,Yes,Yes,No,Yes,Moderate,No,High,None identified,https://api-docs.ecwid.com,100.0,85.0,False,https://api-docs.ecwid.com,https://my.ecwid.com,https://api-docs.ecwid.com/reference/authentication,https://www.ecwid.com/pricing
Gumroad,Ecommerce,Simple direct-to-creator ecommerce utility and purchasing API.,"OAuth2, API Key",Available via developer portal,Yes,Yes,No,No,Limited,No,Medium,None identified,https://gumroad.com/api,100.0,70.0,False,https://gumroad.com/api,https://gumroad.com/settings/advanced,https://gumroad.com/api#authentication,https://gumroad.com/pricing
